category,title,description,rationale,impact,recommendation
Audit Logging,4.1.5 Ensure events that modify user/group information are collected - auditctl '/etc/security/opasswd',"Record events affecting the 'group' , 'passwd' (user IDs), 'shadow' and 'gshadow' (passwords) or '/etc/security/opasswd' (old passwords, based on remember parameter in the PAM configuration) files. The parameters in this section will watch the files to see if they have been opened for write or have had attribute changes (e.g. permissions) and tag them with the identifier 'identity' in the audit log file.",Unexpected changes to these files could be an indication that the system has been compromised and that an unauthorized user is attempting to hide their activities or compromise additional accounts.,,"Add the following lines to the '/etc/audit/audit.rules' file:

-w /etc/group -p wa -k identity
-w /etc/passwd -p wa -k identity
-w /etc/gshadow -p wa -k identity
-w /etc/shadow -p wa -k identity
-w /etc/security/opasswd -p wa -k identity"
Audit Logging,4.1.6 Ensure events that modify the system's network environment are collected - auditctl network-scripts,"Record changes to network environment files or system calls. The below parameters monitor the sethostname (set the systems host name) or setdomainname (set the systems domainname) system calls, and write an audit event on system call exit. The other parameters monitor the '/etc/issue' and '/etc/issue.net' files (messages displayed pre-login), '/etc/hosts' (file containing host names and associated IP addresses), '/etc/sysconfig/network' file and '/etc/sysconfig/network-scripts/' directory (containing network interface scripts and configurations).","Monitoring 'sethostname' and 'setdomainname' will identify potential unauthorized changes to host and domainname of a system. The changing of these names could potentially break security parameters that are set based on those names. The '/etc/hosts' file is monitored for changes in the file that can indicate an unauthorized intruder is trying to change machine associations with IP addresses and trick users and processes into connecting to unintended machines. Monitoring '/etc/issue' and '/etc/issue.net' is important, as intruders could put disinformation into those files and trick users into providing information to the intruder. Monitoring '/etc/sysconfig/network' and '/etc/sysconfig/network-scripts/' is important as it can show if network interfaces or scripts are being modified in a way that can lead to the machine becoming unavailable or compromised. All audit records will be tagged with the identifier 'system-locale.'",,"For 32 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b32 -S sethostname -S setdomainname -k system-locale
-w /etc/issue -p wa -k system-locale
-w /etc/issue.net -p wa -k system-locale
-w /etc/hosts -p wa -k system-locale
-w /etc/sysconfig/network -p wa -k system-locale
-w /etc/sysconfig/network-scripts/ -p wa -k system-locale

For 64 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b64 -S sethostname -S setdomainname -k system-locale
-a always,exit -F arch=b32 -S sethostname -S setdomainname -k system-locale
-w /etc/issue -p wa -k system-locale
-w /etc/issue.net -p wa -k system-locale
-w /etc/hosts -p wa -k system-locale
-w /etc/sysconfig/network -p wa -k system-locale
-w /etc/sysconfig/network-scripts/ -p wa -k system-locale"
Audit Logging,4.1.7 Ensure events that modify the system's Mandatory Access Controls are collected - auditctl /etc/selinux/,"Monitor SELinux mandatory access controls. The parameters below monitor any write access (potential additional, deletion or modification of files in the directory) or attribute changes to the /etc/selinux or directory.","Changes to files in these directories could indicate that an unauthorized user is attempting to modify access controls and change security contexts, leading to a compromise of the system.",,"Add the following lines to the '/etc/audit/audit.rules' file:

-w /etc/selinux/ -p wa -k MAC-policy
-w /usr/share/selinux/ -p wa -k MAC-policy"
Audit Logging,4.1.8 Ensure login and logout events are collected - /var/log/lastlog,Monitor login and logout events. The parameters below track changes to files associated with login/logout events. The file '/var/log/lastlog' maintain records of the last time a user successfully logged in. The '/var/run/failock' directory maintains records of login failures via the 'pam_faillock' module.,Monitoring login/logout events could provide a system administrator with information associated with brute force attacks against user logins.,,"Add the following lines to the '/etc/audit/audit.rules' file:

-w /var/log/lastlog -p wa -k logins
-w /var/run/faillock/ -p wa -k logins"
Audit Logging,4.1.9 Ensure session initiation information is collected - auditctl wtmp,"Monitor session initiation events. The parameters in this section track changes to the files associated with session events. The file '/var/run/utmp' file tracks all currently logged in users. All audit records will be tagged with the identifier 'session.' The '/var/log/wtmp' file tracks logins, logouts, shutdown, and reboot events. The file '/var/log/btmp' keeps track of failed login attempts and can be read by entering the command '/usr/bin/last -f /var/log/btmp' . All audit records will be tagged with the identifier 'logins.'","Monitoring these files for changes could alert a system administrator to logins occurring at unusual hours, which could indicate intruder activity (i.e. a user logging in at a time when they do not normally log in).",,"Add the following lines to the '/etc/audit/audit.rules' file:

-w /var/run/utmp -p wa -k session
-w /var/log/wtmp -p wa -k logins
-w /var/log/btmp -p wa -k logins"
Audit Logging,4.1.10 Ensure discretionary access control permission modification events are collected - auditctl chown/fchown/fchownat/lchown (64-bit),"Monitor changes to file permissions, attributes, ownership and group. The parameters in this section track changes for system calls that affect file permissions and attributes. The 'chmod' , 'fchmod' and 'fchmodat' system calls affect the permissions associated with a file. The 'chown' , 'fchown' , 'fchownat' and 'lchown' system calls affect owner and group attributes on a file. The 'setxattr' , 'lsetxattr' , 'fsetxattr' (set extended file attributes) and 'removexattr' , 'lremovexattr' , 'fremovexattr' (remove extended file attributes) control extended file attributes. In all cases, an audit record will only be written for non-system user ids (auid >= 1000) and will ignore Daemon events (auid = 4294967295). All audit records will be tagged with the identifier 'perm_mod.'",Monitoring for changes in file attributes could alert a system administrator to activity that could indicate intruder activity or policy violation.,,"For 32 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b32 -S chmod -S fchmod -S fchmodat -F auid>=1000 -F auid!=4294967295 -k perm_mod
-a always,exit -F arch=b32 -S chown -S fchown -S fchownat -S lchown -F auid>=1000 -F auid!=4294967295 -k perm_mod
-a always,exit -F arch=b32 -S setxattr -S lsetxattr -S fsetxattr -S removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 -k perm_mod

For 64 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b64 -S chmod -S fchmod -S fchmodat -F auid>=1000 -F auid!=4294967295 -k perm_mod
-a always,exit -F arch=b32 -S chmod -S fchmod -S fchmodat -F auid>=1000 -F auid!=4294967295 -k perm_mod
-a always,exit -F arch=b64 -S chown -S fchown -S fchownat -S lchown -F auid>=1000 -F auid!=4294967295 -k perm_mod
-a always,exit -F arch=b32 -S chown -S fchown -S fchownat -S lchown -F auid>=1000 -F auid!=4294967295 -k perm_mod
-a always,exit -F arch=b64 -S setxattr -S lsetxattr -S fsetxattr -S removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 -k perm_mod
-a always,exit -F arch=b32 -S setxattr -S lsetxattr -S fsetxattr -S removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 -k perm_mod"
Audit Logging,4.1.11 Ensure unsuccessful unauthorized file access attempts are collected - auditctl EPERM (64-bit),"Monitor for unsuccessful attempts to access files. The parameters below are associated with system calls that control creation ( 'creat' ), opening ( 'open' , 'openat' ) and truncation ( 'truncate' , 'ftruncate' ) of files. An audit log record will only be written if the user is a non-privileged user (auid > = 1000), is not a Daemon event (auid=4294967295) and if the system call returned EACCES (permission denied to the file) or EPERM (some other permanent error associated with the specific system call). All audit records will be tagged with the identifier 'access.'","Failed attempts to open, create or truncate files could be an indication that an individual or process is trying to gain unauthorized access to the system.",,"For 32 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=4294967295 -k access
-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=4294967295 -k access

For 64 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b64 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=4294967295 -k access
-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=4294967295 -k access
-a always,exit -F arch=b64 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=4294967295 -k access
-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=4294967295 -k access"
Audit Logging,4.1.12 Ensure use of privileged commands is collected,Monitor privileged programs (those that have the setuid and/or setgid bit set on execution) to determine if unprivileged users are running these commands.,Execution of privileged commands by non-privileged users could be an indication of someone trying to gain unauthorized access to the system.,,"To remediate this issue, the system administrator will have to execute a find command to locate all the privileged programs and then add an audit line for each one of them. The audit parameters associated with this are as follows:

'-F path=' $1 ''
- will populate each file name found through the find command and processed by awk.
'-F perm=x'
- will write an audit record if the file is executed.
'-F auid>=1000'
- will write a record if the user executing the command is not a privileged user.
'-F auid!= 4294967295'
- will ignore Daemon events

All audit records should be tagged with the identifier 'privileged'.

Run the following command replacing <partition> with a list of partitions where programs can be executed from on your system:

# find <partition> -xdev \( -perm -4000 -o -perm -2000 \) -type f | awk '{print ""-a always,exit -F path="" $1 "" -F perm=x -F auid>=1000 -F auid!=4294967295 -k privilege"" }'

Add all resulting lines to the '/etc/audit/audit.rules' file."
Audit Logging,4.1.13 Ensure successful file system mounts are collected,Monitor the use of the 'mount' system call. The 'mount' (and 'umount' ) system call controls the mounting and unmounting of file systems. The parameters below configure the system to create an audit record when the mount system call is used by a non-privileged user,"It is highly unusual for a non privileged user to 'mount' file systems to the system. While tracking 'mount' commands gives the system administrator evidence that external media may have been mounted (based on a review of the source of the mount and confirming it's an external media type), it does not conclusively indicate that data was exported to the media. System administrators who wish to determine if data were exported, would also have to track successful 'open' , 'creat' and 'truncate' system calls requiring write access to a file under the mount point of the external media file system. This could give a fair indication that a write occurred. The only way to truly prove it, would be to track successful writes to the external media. Tracking write system calls could quickly fill up the audit log and is not recommended. Recommendations on configuration options to track data export to media is beyond the scope of this document.",,"For 32 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b32 -S mount -F auid>=1000 -F auid!=4294967295 -k mounts

For 64 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b64 -S mount -F auid>=1000 -F auid!=4294967295 -k mounts
-a always,exit -F arch=b32 -S mount -F auid>=1000 -F auid!=4294967295 -k mounts"
Audit Logging,4.1.14 Ensure file deletion events by users are collected,"Monitor the use of system calls associated with the deletion or renaming of files and file attributes. This configuration statement sets up monitoring for the 'unlink' (remove a file), 'unlinkat' (remove a file attribute), 'rename' (rename a file) and 'renameat' (rename a file attribute) system calls and tags them with the identifier 'delete'.","Monitoring these calls from non-privileged users could provide a system administrator with evidence that inappropriate removal of files and file attributes associated with protected files is occurring. While this audit option will look at all events, system administrators will want to look for specific privileged files that are being deleted or altered.",,"For 32 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b32 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete

For 64 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete
-a always,exit -F arch=b32 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete"
Audit Logging,4.1.15 Ensure changes to system administration scope (sudoers) is collected - auditctl sudoers.d,"Monitor scope changes for system administrations. If the system has been properly configured to force system administrators to log in as themselves first and then use the 'sudo' command to execute privileged commands, it is possible to monitor changes in scope. The file '/etc/sudoers' will be written to when the file or its attributes have changed. The audit records will be tagged with the identifier 'scope.'",Changes in the '/etc/sudoers' file can indicate that an unauthorized change has been made to scope of system administrator activity.,,"Add the following line to the '/etc/audit/audit.rules' file:

-w /etc/sudoers -p wa -k scope
-w /etc/sudoers.d/ -p wa -k scope"
Audit Logging,4.1.16 Ensure system administrator actions (sudolog) are collected,"Monitor the 'sudo' log file. If the system has been properly configured to disable the use of the 'su' command and force all administrators to have to log in first and then use 'sudo' to execute privileged commands, then all administrator commands will be logged to '/var/log/sudo.log' . Any time a command is executed, an audit event will be triggered as the '/var/log/sudo.log' file will be opened for write and the executed administration command will be written to the log.",Changes in '/var/log/sudo.log' indicate that an administrator has executed a command or the log file itself has been tampered with. Administrators will want to correlate the events written to the audit trail with the records written to '/var/log/sudo.log' to verify if unauthorized commands have been executed.,,"Add the following lines to the '/etc/audit/audit.rules' file:

-w /var/log/sudo.log -p wa -k actions"
Audit Logging,4.1.17 Ensure kernel module loading and unloading is collected - insmod,"Monitor the loading and unloading of kernel modules. The programs 'insmod' (install a kernel module), 'rmmod' (remove a kernel module), and 'modprobe' (a more sophisticated program to load and unload modules, as well as some other features) control loading and unloading of modules. The 'init_module' (load a module) and 'delete_module' (delete a module) system calls control loading and unloading of modules. Any execution of the loading and unloading module programs and system calls will trigger an audit record with an identifier of 'modules'.","Monitoring the use of 'insmod' , 'rmmod' and 'modprobe' could provide system administrators with evidence that an unauthorized user loaded or unloaded a kernel module, possibly compromising the security of the system. Monitoring of the 'init_module' and 'delete_module' system calls would reflect an unauthorized user attempting to use a different program to load and unload modules.",,"For 32 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-w /sbin/insmod -p x -k modules
-w /sbin/rmmod -p x -k modules
-w /sbin/modprobe -p x -k modules
-a always,exit -F arch=b32 -S init_module -S delete_module -k modules

For 64 bit systems add the following lines to the '/etc/audit/audit.rules' file:

-w /sbin/insmod -p x -k modules
-w /sbin/rmmod -p x -k modules
-w /sbin/modprobe -p x -k modules
-a always,exit -F arch=b64 -S init_module -S delete_module -k modules"
Audit Logging,4.1.18 Ensure the audit configuration is immutable,Set system audit so that audit rules cannot be modified with 'auditctl' . Setting the flag '-e 2' forces audit to be put in immutable mode. Audit changes can only be made on system reboot.,"In immutable mode, unauthorized users cannot execute changes to the audit system to potentially hide malicious activity and then put the audit rules back. Users would most likely notice a system reboot and that could alert administrators of an attempt to make unauthorized audit changes.",,"Add the following line to the end of the '/etc/audit/audit.rules' file.

-e 2"
Audit Logging,4.2.1.1 Ensure rsyslog Service is enabled,Once the 'rsyslog' package is installed it needs to be activated.,If the 'rsyslog' service is not activated the system may default to the 'syslogd' service or lack logging instead.,,"Run the following command to enable 'rsyslog' :

# systemctl enable rsyslog"
Audit Logging,4.2.1.2 Ensure logging is configured,The '/etc/rsyslog.conf' and '/etc/rsyslog.d/*.conf' files specifies rules for logging and which files are to be used to log certain classes of messages.,"A great deal of important security-related information is sent via 'rsyslog' (e.g., successful and failed su attempts, failed login attempts, root login attempts, etc.).

NOTE: Nessus has not performed this check. Please review the benchmark to ensure target compliance.",,"Edit the following lines in the '/etc/rsyslog.conf' and '/etc/rsyslog.d/*.conf' files as appropriate for your environment:

*.emerg :omusrmsg:*
mail.* -/var/log/mail
mail.info -/var/log/mail.info
mail.warning -/var/log/mail.warn
mail.err /var/log/mail.err
news.crit -/var/log/news/news.crit
news.err -/var/log/news/news.err
news.notice -/var/log/news/news.notice
*.=warning;*.=err -/var/log/warn
*.crit /var/log/warn
*.*;mail.none;news.none -/var/log/messages
local0,local1.* -/var/log/localmessages
local2,local3.* -/var/log/localmessages
local4,local5.* -/var/log/localmessages
local6,local7.* -/var/log/localmessages

Run the following command to reload the 'rsyslogd' configuration:

# pkill -HUP rsyslogd"
Audit Logging,4.2.1.3 Ensure rsyslog default file permissions configured,rsyslog will create logfiles that do not already exist on the system. This setting controls what permissions will be applied to these newly created files.,It is important to ensure that log files have the correct permissions to ensure that sensitive data is archived and protected.,,"Edit the '/etc/rsyslog.conf' and '/etc/rsyslog.d/*.conf' files and set '$FileCreateMode' to '0640' or more restrictive:

$FileCreateMode 0640"
Audit Logging,4.2.1.4 Ensure rsyslog is configured to send logs to a remote log host,"The 'rsyslog' utility supports the ability to send logs it gathers to a remote log host running 'syslogd(8)' or to receive messages from remote hosts, reducing administrative overhead.","Storing log data on a remote host protects log integrity from local attacks. If an attacker gains root access on the local system, they could tamper with or remove log data that is stored on the local system",,"Edit the '/etc/rsyslog.conf' and '/etc/rsyslog.d/*.conf' files and add the following line (where 'loghost.example.com' is the name of your central log host).

*.* @@loghost.example.com

Run the following command to reload the 'rsyslogd' configuration:

# pkill -HUP rsyslogd"
Audit Logging,4.2.1.5 Ensure remote rsyslog messages are only accepted on designated log hosts. - imtcp.so,"By default, 'rsyslog' does not listen for log messages coming in from remote systems. The 'ModLoad' tells 'rsyslog' to load the 'imtcp.so' module so it can listen over a network via TCP. The 'InputTCPServerRun' option instructs 'rsyslogd' to listen on the specified TCP port.",The guidance in the section ensures that remote log hosts are configured to only accept 'rsyslog' data from hosts within the specified domain and that those systems that are not designed to be log hosts do not accept any remote 'rsyslog' messages. This provides protection from spoofed log data and ensures that system administrators are reviewing reasonably complete syslog data in a central location.,,"For hosts that are designated as log hosts, edit the '/etc/rsyslog.conf' file and un-comment or add the following lines:

$ModLoad imtcp
$InputTCPServerRun 514

For hosts that are not designated as log hosts, edit the '/etc/rsyslog.conf' file and comment or remove the following lines:

# $ModLoad imtcp
# $InputTCPServerRun 514

Run the following command to reload the 'rsyslogd' configuration:

# pkill -HUP rsyslogd"
Audit Logging,4.2.2.1 Ensure syslog-ng service is enabled,Once the 'syslog-ng' package is installed it needs to be activated.,"If the 'syslog-ng' service is not activated the system may default to the 'syslogd' service or lack logging instead.

NOTE - Nessus has not performed this check. syslog-ng does not seem to be installed and this check is not applicable.",,"Run the following command to enable 'syslog-ng' :

# systemctl enable syslog-ng"
Audit Logging,4.2.2.2 Ensure logging is configured,The '/etc/syslog-ng/syslog-ng.conf' file specifies rules for logging and which files are to be used to log certain classes of messages.,"A great deal of important security-related information is sent via 'syslog-ng' (e.g., successful and failed su attempts, failed login attempts, root login attempts, etc.).

NOTE - Nessus has not performed this check. syslog-ng does not seem to be installed and this check is not applicable.",,"Edit the log lines in the '/etc/syslog-ng/syslog-ng.conf' file as appropriate for your environment:

log { source(src); source(chroots); filter(f_console); destination(console); };
log { source(src); source(chroots); filter(f_console); destination(xconsole); };
log { source(src); source(chroots); filter(f_newscrit); destination(newscrit); };
log { source(src); source(chroots); filter(f_newserr); destination(newserr); };
log { source(src); source(chroots); filter(f_newsnotice); destination(newsnotice); };
log { source(src); source(chroots); filter(f_mailinfo); destination(mailinfo); };
log { source(src); source(chroots); filter(f_mailwarn); destination(mailwarn); };
log { source(src); source(chroots); filter(f_mailerr); destination(mailerr); };
log { source(src); source(chroots); filter(f_mail); destination(mail); };
log { source(src); source(chroots); filter(f_acpid); destination(acpid); flags(final); };
log { source(src); source(chroots); filter(f_acpid_full); destination(devnull); flags(final); };
log { source(src); source(chroots); filter(f_acpid_old); destination(acpid); flags(final); };
log { source(src); source(chroots); filter(f_netmgm); destination(netmgm); flags(final); };
log { source(src); source(chroots); filter(f_local); destination(localmessages); };
log { source(src); source(chroots); filter(f_messages); destination(messages); };
log { source(src); source(chroots); filter(f_iptables); destination(firewall); };
log { source(src); source(chroots); filter(f_warn); destination(warn); };

Run the following command to reload the 'syslog-ng' configuration:

# pkill -HUP syslog-ng"
Audit Logging,4.2.2.3 Ensure syslog-ng default file permissions configured,syslog-ng will create logfiles that do not already exist on the system. This setting controls what permissions will be applied to these newly created files.,"It is important to ensure that log files exist and have the correct permissions to ensure that sensitive 'syslog-ng' data is archived and protected.

NOTE - Nessus has not performed this check. syslog-ng does not seem to be installed and this check is not applicable.",,"Edit the '/etc/syslog-ng/syslog-ng.conf' and set 'perm' option to '0640' or more restrictive:

options { chain_hostnames(off); flush_lines(0); perm(0640); stats_freq(3600); threaded(yes); };"
Audit Logging,4.2.2.4 Ensure syslog-ng is configured to send logs to a remote log host - destination logserver,"The 'syslog-ng' utility supports the ability to send logs it gathers to a remote log host or to receive messages from remote hosts, reducing administrative overhead.","Storing log data on a remote host protects log integrity from local attacks. If an attacker gains root access on the local system, they could tamper with or remove log data that is stored on the local system

NOTE - Nessus has not performed this check. syslog-ng does not seem to be installed and this check is not applicable.",,"Edit the '/etc/syslog-ng/syslog-ng.conf' file and add the following lines (where 'logfile.example.com' is the name of your central log host).

destination logserver { tcp('logfile.example.com' port(514)); };
log { source(src); destination(logserver); };

Run the following command to reload the 'syslog-ng' configuration:

# pkill -HUP syslog-ng"
Audit Logging,4.2.2.5 Ensure remote syslog-ng messages are only accepted on designated log hosts,"By default, 'syslog-ng' does not listen for log messages coming in from remote systems.","The guidance in the section ensures that remote log hosts are configured to only accept 'syslog-ng' data from hosts within the specified domain and that those systems that are not designed to be log hosts do not accept any remote 'syslog-ng' messages. This provides protection from spoofed log data and ensures that system administrators are reviewing reasonably complete syslog data in a central location.

NOTE: Nessus has not performed this check. Please review the benchmark to ensure target compliance.",,"On designated log hosts edit the '/etc/syslog-ng/syslog-ng.conf' file and configure the following lines are appropriately:

source net{ tcp(); };
destination remote { file('/var/log/remote/${FULLHOST}-log'); };
log { source(net); destination(remote); };

On non designated log hosts edit the '/etc/syslog-ng/syslog-ng.conf' file and remove or edit any sources that accept network sourced log messages.

Run the following command to reload the 'syslog-ng' configuration:

# pkill -HUP syslog-ng"
Audit Logging,4.2.3 Ensure rsyslog or syslog-ng is installed,"The 'rsyslog' and 'syslog-ng' software are recommended replacements to the original ' syslogd' daemon which provide improvements over 'syslogd' , such as connection-oriented (i.e. TCP) transmission of logs, the option to log to database formats, and the encryption of log data en route to a central logging server.","The security enhancements of 'rsyslog' and 'syslog-ng' such as connection-oriented (i.e. TCP) transmission of logs, the option to log to database formats, and the encryption of log data en route to a central logging server) justify installing and configuring the package.",,"Install 'rsyslog' or 'syslog-ng' using one of the following commands:

# yum install rsyslog
# yum install syslog-ng"
Audit Logging,4.2.4 Ensure permissions on all logfiles are configured,"Log files stored in /var/log/ contain logged information from many services on the system, or on log hosts others as well.",It is important to ensure that log files have the correct permissions to ensure that sensitive data is archived and protected.,,
Audit Logging,4.3 Ensure logrotate is configured,The system includes the capability of rotating log files regularly to avoid filling up the system with logs or making the logs unmanageable large. The file '/etc/logrotate.d/syslog' is the configuration file used to rotate log files created by 'syslog' or 'rsyslog'.,"By keeping the log files smaller and more manageable, a system administrator can easily archive these files to another system and spend less time looking through inordinately large log files.

NOTE: Nessus has not performed this check. Please review the benchmark to ensure target compliance.",,Edit '/etc/logrotate.conf' and '/etc/logrotate.d/*' to ensure logs are rotated according to site policy.
Access Controls,5.1.1 Ensure cron daemon is enabled,The 'cron' daemon is used to execute batch jobs on the system.,"While there may not be user jobs that need to be run on the system, the system does have maintenance jobs that may include security monitoring that have to run, and 'cron' is used to execute them.",,"Run the following command to enable 'cron' :

# systemctl enable crond"
Access Controls,5.1.2 Ensure permissions on /etc/crontab are configured,The '/etc/crontab' file is used by 'cron' to control its own jobs. The commands in this item make sure that root is the user and group owner of the file and that only the owner can access the file.,This file contains information on what system jobs are run by cron. Write access to these files could provide unprivileged users with the ability to elevate their privileges. Read access to these files could provide users with the ability to gain insight on system jobs that run on the system and could provide them a way to gain unauthorized privileged access.,,"Run the following commands to set ownership and permissions on '/etc/crontab' :

# chown root:root /etc/crontab
# chmod og-rwx /etc/crontab"
Access Controls,5.1.3 Ensure permissions on /etc/cron.hourly are configured,"This directory contains system 'cron' jobs that need to run on an hourly basis. The files in this directory cannot be manipulated by the 'crontab' command, but are instead edited by system administrators using a text editor. The commands below restrict read/write and search access to user and group root, preventing regular users from accessing this directory.",Granting write access to this directory for non-privileged users could provide them the means for gaining unauthorized elevated privileges. Granting read access to this directory could give an unprivileged user insight in how to gain elevated privileges or circumvent auditing controls.,,"Run the following commands to set ownership and permissions on '/etc/cron.hourly' :

# chown root:root /etc/cron.hourly
# chmod og-rwx /etc/cron.hourly"
Access Controls,5.1.4 Ensure permissions on /etc/cron.daily are configured,"The '/etc/cron.daily' directory contains system cron jobs that need to run on a daily basis. The files in this directory cannot be manipulated by the 'crontab' command, but are instead edited by system administrators using a text editor. The commands below restrict read/write and search access to user and group root, preventing regular users from accessing this directory.",Granting write access to this directory for non-privileged users could provide them the means for gaining unauthorized elevated privileges. Granting read access to this directory could give an unprivileged user insight in how to gain elevated privileges or circumvent auditing controls.,,"Run the following commands to set ownership and permissions on '/etc/cron.daily' :

# chown root:root /etc/cron.daily
# chmod og-rwx /etc/cron.daily"
Access Controls,5.1.5 Ensure permissions on /etc/cron.weekly are configured,"The '/etc/cron.weekly' directory contains system cron jobs that need to run on a weekly basis. The files in this directory cannot be manipulated by the 'crontab' command, but are instead edited by system administrators using a text editor. The commands below restrict read/write and search access to user and group root, preventing regular users from accessing this directory.",Granting write access to this directory for non-privileged users could provide them the means for gaining unauthorized elevated privileges. Granting read access to this directory could give an unprivileged user insight in how to gain elevated privileges or circumvent auditing controls.,,"Run the following commands to set ownership and permissions on '/etc/cron.weekly' :

# chown root:root /etc/cron.weekly
# chmod og-rwx /etc/cron.weekly"
Access Controls,5.1.6 Ensure permissions on /etc/cron.monthly are configured,"The '/etc/cron.monthly' directory contains system cron jobs that need to run on a monthly basis. The files in this directory cannot be manipulated by the 'crontab' command, but are instead edited by system administrators using a text editor. The commands below restrict read/write and search access to user and group root, preventing regular users from accessing this directory.",Granting write access to this directory for non-privileged users could provide them the means for gaining unauthorized elevated privileges. Granting read access to this directory could give an unprivileged user insight in how to gain elevated privileges or circumvent auditing controls.,,"Run the following commands to set ownership and permissions on '/etc/cron.monthly' :

# chown root:root /etc/cron.monthly
# chmod og-rwx /etc/cron.monthly"
Access Controls,5.1.7 Ensure permissions on /etc/cron.d are configured,"The '/etc/cron.d' directory contains system 'cron' jobs that need to run in a similar manner to the hourly, daily weekly and monthly jobs from '/etc/crontab' , but require more granular control as to when they run. The files in this directory cannot be manipulated by the 'crontab' command, but are instead edited by system administrators using a text editor. The commands below restrict read/write and search access to user and group root, preventing regular users from accessing this directory.",Granting write access to this directory for non-privileged users could provide them the means for gaining unauthorized elevated privileges. Granting read access to this directory could give an unprivileged user insight in how to gain elevated privileges or circumvent auditing controls.,,"Run the following commands to set ownership and permissions on '/etc/cron.d' :

# chown root:root /etc/cron.d
# chmod og-rwx /etc/cron.d"
Access Controls,5.1.8 Ensure at/cron is restricted to authorized users - cron.deny,"Configure '/etc/cron.allow' and '/etc/at.allow' to allow specific users to use these services. If '/etc/cron.allow' or '/etc/at.allow' do not exist, then '/etc/at.deny' and '/etc/cron.deny' are checked. Any user not specifically defined in those files is allowed to use at and cron. By removing the files, only users in '/etc/cron.allow' and '/etc/at.allow' are allowed to use at and cron. Note that even though a given user is not listed in 'cron.allow' , cron jobs can still be run as that user. The 'cron.allow' file only controls administrative access to the crontab command for scheduling and modifying cron jobs.","On many systems, only the system administrator is authorized to schedule 'cron' jobs. Using the 'cron.allow' file to control who can run 'cron' jobs enforces this policy. It is easier to manage an allow list than a deny list. In a deny list, you could potentially add a user ID to the system and forget to add it to the deny files.",,"Run the following commands to remove '/etc/cron.deny' and '/etc/at.deny' and create and set permissions and ownership for '/etc/cron.allow' and '/etc/at.allow' :

# rm /etc/cron.deny
# rm /etc/at.deny
# touch /etc/cron.allow
# touch /etc/at.allow
# chmod og-rwx /etc/cron.allow
# chmod og-rwx /etc/at.allow
# chown root:root /etc/cron.allow
# chown root:root /etc/at.allow"
Access Controls,5.2.1 Ensure permissions on /etc/ssh/sshd_config are configured,The '/etc/ssh/sshd_config' file contains configuration specifications for 'sshd'. The command below sets the owner and group of the file to root.,The '/etc/ssh/sshd_config' file needs to be protected from unauthorized changes by non-privileged users.,,"Run the following commands to set ownership and permissions on '/etc/ssh/sshd_config':

# chown root:root /etc/ssh/sshd_config
# chmod og-rwx /etc/ssh/sshd_config"
Access Controls,5.2.2 Ensure SSH Protocol is set to 2,SSH supports two different and incompatible protocols: SSH1 and SSH2. SSH1 was the original protocol and was subject to security issues. SSH2 is more advanced and secure.,SSH v1 suffers from insecurities that do not affect SSH v2.,,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

Protocol 2"
